timestamp,requests
2026-04-01,235.6
2026-04-02,236.4
2026-04-03,238.1
2026-04-04,228.1
2026-04-05,226.1
2026-04-06,218.7
2026-04-07,212.6
2026-04-08,237.0
2026-04-09,247.4
2026-04-10,238.3
2026-04-11,240.6
2026-04-12,228.4
2026-04-13,223.1
2026-04-14,216.1
2026-04-15,244.1
2026-04-16,252.7
2026-04-17,246.6
2026-04-18,242.0
2026-04-19,239.4
2026-04-20,223.3
2026-04-21,228.6
2026-04-22,246.4
2026-04-23,257.1
2026-04-24,250.1
2026-04-25,249.1
2026-04-26,374.7
2026-04-27,231.6
2026-04-28,230.0
2026-04-29,257.4
2026-04-30,257.3
2026-05-01,262.6
2026-05-02,251.4
2026-05-03,249.1
2026-05-04,235.1
2026-05-05,237.1
2026-05-06,262.7
2026-05-07,265.6
2026-05-08,264.0
2026-05-09,262.4
2026-05-10,249.3
2026-05-11,302.6
2026-05-12,294.4
2026-05-13,322.1
2026-05-14,324.1
2026-05-15,326.1
2026-05-16,322.7
2026-05-17,312.6
2026-05-18,304.0
2026-05-19,305.4
2026-05-20,322.3
2026-05-21,336.6
2026-05-22,328.4
2026-05-23,327.1
2026-05-24,316.1
2026-05-25,311.1
2026-05-26,310.7
2026-05-27,330.6
2026-05-28,338.0
2026-05-29,339.4
2026-05-30,327.3
2026-05-31,328.6
2026-06-01,313.4
2026-06-02,315.1
2026-06-03,334.1
2026-06-04,345.1
2026-06-05,344.7
2026-06-06,335.6
2026-06-07,330.0
2026-06-08,324.4
2026-06-09,315.3
